lr,data_time,loss,decode.loss_ce,decode.acc_seg,aux.loss_ce,aux.acc_seg,time,iter,memory,step
0.009998886215193948,0.015280564626057943,0.1536953126390775,0.10768167302012444,29.351806640625,0.04601363961895307,22.0001220703125,0.6952805121739706,6.0,3244.0,6.0
0.00997794446709763,0.010301804542541504,0.07135280035436153,0.04831879064440727,80.291748046875,0.023034009709954263,80.5908203125,0.3771659851074219,100.0,3228.0,100.0
0.009955660594668054,0.009196615219116211,0.07401411309838295,0.05190144069492817,84.5123291015625,0.022112672124058007,68.85986328125,0.37775115966796874,200.0,3228.0,200.0
0.009933371122565919,0.010739707946777343,0.055572265014052394,0.03886738363653421,80.1422119140625,0.016704881843179465,83.3709716796875,0.3804850816726685,300.0,3228.0,300.0
0.009911076035273796,0.009658169746398926,0.06253787092864513,0.04395817052572966,85.9283447265625,0.018579699378460646,85.400390625,0.37853708267211916,400.0,3228.0,400.0
0.0098887753171919,0.009531569480895997,0.05418768487870693,0.038848457671701905,72.2900390625,0.015339227113872766,75.7293701171875,0.37898788452148435,500.0,3228.0,500.0
0.009866468952637547,0.011974740028381347,0.054582372307777405,0.03952225912362337,78.4942626953125,0.015060113091021777,83.453369140625,0.4003551959991455,600.0,3184.0,600.0
0.009844156925844432,0.010011005401611327,0.04192401058971882,0.029792085103690625,87.36572265625,0.012131925392895936,89.0533447265625,0.39769539833068845,700.0,3184.0,700.0
0.009821839220962003,0.009391212463378906,0.03675215262919664,0.02527476418763399,82.318115234375,0.011477388814091683,81.964111328125,0.396234130859375,800.0,3184.0,800.0
0.009799515822054777,0.011443209648132325,0.03791218921542168,0.026541494019329547,88.9434814453125,0.011370695475488902,90.2191162109375,0.39848344326019286,900.0,3184.0,900.0
0.00977718671310168,0.008217287063598634,0.047238440066576,0.033115506172180176,78.4149169921875,0.014122934639453888,76.800537109375,0.39383909702301023,1000.0,3184.0,1000.0
0.009754851877995354,0.00976407527923584,0.037838492169976236,0.02637465065345168,92.5872802734375,0.011463841376826166,91.8853759765625,0.39613182544708253,1100.0,3184.0,1100.0
0.009732511300541468,0.010883951187133789,0.043165219575166704,0.0298571215942502,85.577392578125,0.0133080976549536,86.12060546875,0.3989989995956421,1200.0,3184.0,1200.0
0.009710164964458045,0.012148761749267578,0.03580906130373478,0.025263040512800216,73.7030029296875,0.010546020511537791,75.72021484375,0.4007777452468872,1300.0,3184.0,1300.0
0.009687812853374727,0.010342288017272949,0.04173695519566536,0.02911048475652933,70.977783203125,0.012626471184194087,72.552490234375,0.3977885007858276,1400.0,3184.0,1400.0
0.009665454950832103,0.01056809425354004,0.048986665718257424,0.03473530225455761,72.75390625,0.01425136304460466,75.0518798828125,0.39817850589752196,1500.0,3184.0,1500.0
0.009643091240280942,0.010893964767456054,0.038939181715250015,0.02675558440387249,88.330078125,0.012183597311377525,87.188720703125,0.4001577377319336,1600.0,3184.0,1600.0
0.009620721705081534,0.011040544509887696,0.04691820628941059,0.03334561288356781,77.2369384765625,0.013572594756260515,76.708984375,0.39899725914001466,1700.0,3184.0,1700.0
0.009598346328502901,0.010408973693847657,0.035590211488306524,0.024963845033198595,84.088134765625,0.010626366501674056,79.67529296875,0.39808433055877684,1800.0,3184.0,1800.0
0.009575965093722064,0.009300851821899414,0.03530222959816456,0.024792669620364905,87.554931640625,0.010509560024365783,86.9781494140625,0.39756145477294924,1900.0,3184.0,1900.0
0.009553577983823325,0.011763620376586913,0.03534277826547623,0.024750003311783075,86.614990234375,0.010592774348333478,81.7626953125,0.3997605085372925,2000.0,3184.0,2000.0
0.0095311849817975,0.011658978462219239,0.03579028751701117,0.024739428889006376,84.5001220703125,0.011050859279930592,83.9569091796875,0.3985737323760986,2100.0,3184.0,2100.0
0.009508786070541123,0.011520624160766602,0.04105919562280178,0.028820956498384474,94.04296875,0.01223823898471892,94.3084716796875,0.39771764278411864,2200.0,3184.0,2200.0
0.009486381232855704,0.009900832176208496,0.039789522625505926,0.028261378034949304,88.9984130859375,0.011528144869953395,89.971923828125,0.39772040843963624,2300.0,3184.0,2300.0
0.009463970451446941,0.010513067245483398,0.02965116612613201,0.02086649900302291,92.05322265625,0.008784666936844588,91.1590576171875,0.39594521522521975,2400.0,3184.0,2400.0
0.009441553708923918,0.011116886138916015,0.039211797527968884,0.027694431506097315,84.9884033203125,0.011517366534098983,85.015869140625,0.39847707748413086,2500.0,3184.0,2500.0
0.009419130987798348,0.01123666763305664,0.04381838012486696,0.03027192419394851,90.7440185546875,0.013546455930918456,90.325927734375,0.39809117317199705,2600.0,3184.0,2600.0
0.009396702270483696,0.008427929878234864,0.03874178528785706,0.027849617786705493,88.2293701171875,0.010892167687416077,85.711669921875,0.3927736520767212,2700.0,3184.0,2700.0
0.009374267539294417,0.008492207527160645,0.03430766668170691,0.023410389199852943,82.8826904296875,0.010897277994081378,78.717041015625,0.393237566947937,2800.0,3184.0,2800.0
0.00935182677644513,0.008618569374084473,0.03768265638500452,0.02684228280559182,85.0830078125,0.010840373439714312,83.5205078125,0.3934896469116211,2900.0,3184.0,2900.0
0.009329379964049745,0.008324956893920899,0.034907308593392375,0.02504913890734315,93.05419921875,0.009858169918879866,92.498779296875,0.39315643310546877,3000.0,3184.0,3000.0
