aAcc,mIoU,mAcc,data_time,time,step
83.32,33.45,37.79,0.03151265057650479,0.8908483982086182,500.0
81.38,36.96,42.16,0.010794579982757568,0.24052931865056357,1000.0
80.7,41.75,50.34,0.011155505975087484,0.24140363931655884,1500.0
85.39,46.22,52.52,0.010201911131540934,0.24009589354197183,2000.0
86.14,54.27,62.15,0.012014230092366537,0.24209884802500406,2500.0
